Anio,Media
1991,24.934426229508198
1992,24.599999999999998
1993,24.8
1994,27.183333333333334
1995,26.832786885245902
1996,26.777049180327868
1997,23.908196721311477
1998,25.518032786885247
1999,26.229508196721312
2000,25.057377049180328
2001,24.770491803278688
2002,25.43606557377049
2003,24.578688524590163
2004,24.762295081967213
2005,26.550819672131148
2006,26.50327868852459
2007,25.56393442622951
2008,28.557377049180328
2009,24.775409836065574
2010,27.049180327868854
2011,26.38360655737705
2012,27.18032786885246
2013,27.727868852459018
2014,25.840983606557376
2015,25.814754098360655
2016,26.821311475409836
2017,26.39016393442623
2018,25.36393442622951
2019,27.050819672131148
2020,26.4672131147541
2021,26.79344262295082
