Anio,Indice,Media
1991,DMI,0.062
1991,Niño12,23.009999999999998
1991,Niño34,28.095
1991,Niño4,29.37
1991,SAM,-1.035
1992,DMI,-0.358
1992,Niño12,22.15
1992,Niño34,26.43
1992,Niño4,28.65
1992,SAM,1.035
1993,DMI,-0.1775
1993,Niño12,22.395
1993,Niño34,26.735
1993,Niño4,28.755
1993,SAM,1.43
1994,DMI,0.275
1994,Niño12,22.965000000000003
1994,Niño34,27.83
1994,Niño4,29.450000000000003
1994,SAM,-0.2600000000000001
1995,DMI,-0.102
1995,Niño12,21.665
1995,Niño34,25.625
1995,Niño4,28.075
1995,SAM,1.05
1996,DMI,-0.605
1996,Niño12,21.119999999999997
1996,Niño34,26.119999999999997
1996,Niño4,28.41
1996,SAM,-1.165
1997,DMI,1.071
1997,Niño12,26.59
1997,Niño34,29.005000000000003
1997,Niño4,29.25
1997,SAM,-2.03
1998,DMI,-0.49450000000000005
1998,Niño12,22.07
1998,Niño34,25.075
1998,Niño4,27.15
1998,SAM,2.715
1999,DMI,-0.132
1999,Niño12,21.3
1999,Niño34,24.990000000000002
1999,Niño4,27.3
1999,SAM,2.475
2000,DMI,-0.277
2000,Niño12,21.155
2000,Niño34,25.8
2000,Niño4,27.755000000000003
2000,SAM,-1.685
2001,DMI,-0.148
2001,Niño12,21.28
2001,Niño34,26.259999999999998
2001,Niño4,28.72
2001,SAM,1.85
2002,DMI,-0.031
2002,Niño12,23.27
2002,Niño34,28.07
2002,Niño4,29.465
2002,SAM,0.66
2003,DMI,0.015
2003,Niño12,22.485
2003,Niño34,27.035
2003,Niño4,29.02
2003,SAM,-0.42
2004,DMI,-0.14250000000000002
2004,Niño12,22.775
2004,Niño34,27.35
2004,Niño4,29.43
2004,SAM,-1.1
2005,DMI,-0.28600000000000003
2005,Niño12,21.060000000000002
2005,Niño34,25.895
2005,Niño4,28.415
2005,SAM,-1.0499999999999998
2006,DMI,0.3365
2006,Niño12,22.985
2006,Niño34,27.715
2006,Niño4,29.54
2006,SAM,0.74
2007,DMI,-0.125
2007,Niño12,20.535
2007,Niño34,25.090000000000003
2007,Niño4,27.515
2007,SAM,1.4149999999999998
2008,DMI,-0.0905
2008,Niño12,21.869999999999997
2008,Niño34,25.994999999999997
2008,Niño4,27.855
2008,SAM,1.02
2009,DMI,0.0465
2009,Niño12,22.7
2009,Niño34,28.25
2009,Niño4,29.77
2009,SAM,-0.05499999999999994
2010,DMI,-0.3535
2010,Niño12,21.125
2010,Niño34,25.03
2010,Niño4,27.1
2010,SAM,2.065
2011,DMI,0.10400000000000001
2011,Niño12,21.61
2011,Niño34,25.53
2011,Niño4,27.665
2011,SAM,1.0100000000000002
2012,DMI,0.084
2012,Niño12,21.6
2012,Niño34,26.6
2012,Niño4,28.8
2012,SAM,-0.87
2013,DMI,0.16999999999999998
2013,Niño12,21.73
2013,Niño34,26.494999999999997
2013,Niño4,28.61
2013,SAM,0.92
2014,DMI,0.028
2014,Niño12,22.835
2014,Niño34,27.384999999999998
2014,Niño4,29.365000000000002
2014,SAM,1.4000000000000001
2015,DMI,0.3095
2015,Niño12,24.475
2015,Niño34,29.340000000000003
2015,Niño4,30.02
2015,SAM,1.0899999999999999
2016,DMI,-0.346
2016,Niño12,22.509999999999998
2016,Niño34,26.020000000000003
2016,Niño4,28.295
2016,SAM,-2.3200000000000003
2017,DMI,0.19899999999999998
2017,Niño12,20.925
2017,Niño34,25.68
2017,Niño4,28.16
2017,SAM,2.31
2018,DMI,0.40449999999999997
2018,Niño12,23.16
2018,Niño34,27.549999999999997
2018,Niño4,29.53
2018,SAM,2.1399999999999997
2019,DMI,0.5389999999999999
2019,Niño12,22.16
2019,Niño34,27.17
2019,Niño4,29.435000000000002
2019,SAM,-3.1
2020,DMI,0.025
2020,Niño12,21.64
2020,Niño34,25.36
2020,Niño4,27.67
2020,SAM,1.71
2021,DMI,-0.025499999999999995
2021,Niño12,20.825000000000003
2021,Niño34,25.65
2021,Niño4,27.91
2021,SAM,2.715
