Anio,Trimestre,Region,Centroide
1961,NDE,1,-0.26562259047899506
1962,NDE,1,-0.15260040802647626
1963,NDE,1,-0.11062742183507757
1964,NDE,1,-0.47589259951170726
1965,NDE,1,0.4082613503428707
1966,NDE,1,-0.19192183245904176
1967,NDE,1,-0.6150336495751204
1968,NDE,1,0.06005621467849299
1969,NDE,1,0.08561392319290313
1970,NDE,1,-0.0056572797938265
1971,NDE,1,-0.3418348558435533
1972,NDE,1,-0.09209108112194572
1973,NDE,1,-0.16007458269206823
1974,NDE,1,-0.30874039750387744
1975,NDE,1,-0.2546317520792695
1976,NDE,1,0.05774317449094649
1977,NDE,1,0.31225532470303125
1978,NDE,1,-0.14638921823464
1979,NDE,1,-0.18820033438319572
1980,NDE,1,0.0910974128911358
1981,NDE,1,-0.2513402219999189
1982,NDE,1,-0.2871400361223191
1983,NDE,1,-0.05729672145763526
1984,NDE,1,-0.5129034115731256
1985,NDE,1,-0.21104566140711373
1986,NDE,1,0.08916362431279796
1987,NDE,1,-0.10463853605423223
1988,NDE,1,-0.4763811142595922
1989,NDE,1,0.1395300046910949
1990,NDE,1,0.5817496115541977
1991,NDE,1,-0.04207107543813592
1992,NDE,1,0.05905225972554407
1993,NDE,1,0.08874487419889422
1994,NDE,1,-0.3257704671472382
1995,NDE,1,-0.35197537010536173
1996,NDE,1,-0.1571860877218915
1997,NDE,1,0.8402224254453347
1998,NDE,1,-0.14417934386794656
1999,NDE,1,-0.576513532981126
2000,NDE,1,0.2369021528912247
2001,NDE,1,-0.13604979180656854
2002,NDE,1,0.48838984442638583
2003,NDE,1,-2.3154158965833552e-4
2004,NDE,1,0.03977322050961677
2005,NDE,1,-0.3357187384632547
2006,NDE,1,0.1836600885277269
2007,NDE,1,-0.4103211269324524
2008,NDE,1,-0.6112964796499419
2009,NDE,1,0.6905683376809465
2010,NDE,1,-0.37461240229289383
2011,NDE,1,-0.5243745920304319
2012,NDE,1,0.216578626110248
2013,NDE,1,0.1413209881188965
2014,NDE,1,0.5315886677373014
2015,NDE,1,0.10554175300990916
2016,NDE,1,-0.01563040633053958
2017,NDE,1,-0.5151325748662698
2018,NDE,1,1.028572300276013
2019,NDE,1,-0.01337485310623037
2020,NDE,1,-0.11647715432810007
