Fecha,Estacion,Caudal
1980-01-01,Andacollo,162.42
1980-01-01,BajadaDelAgrio,81.62
1980-01-01,PasodeIndios,353
1980-01-02,Andacollo,169.12
1980-01-02,BajadaDelAgrio,79.68
1980-01-02,PasodeIndios,342
1980-01-03,Andacollo,165.41
1980-01-03,BajadaDelAgrio,76.24
1980-01-03,PasodeIndios,341
1980-01-04,Andacollo,165.38
1980-01-04,BajadaDelAgrio,74.31
1980-01-04,PasodeIndios,335
1980-01-05,Andacollo,174.38
1980-01-05,BajadaDelAgrio,77.01
1980-01-05,PasodeIndios,319
1980-01-06,Andacollo,157.04
1980-01-06,BajadaDelAgrio,73.03
1980-01-06,PasodeIndios,319
1980-01-07,Andacollo,152.44
1980-01-07,BajadaDelAgrio,70.6
1980-01-07,PasodeIndios,301
1980-01-08,Andacollo,150.39
1980-01-08,BajadaDelAgrio,67.31
1980-01-08,PasodeIndios,291
1980-01-09,Andacollo,150.62
1980-01-09,BajadaDelAgrio,63.97
1980-01-09,PasodeIndios,279
1980-01-10,Andacollo,156.56
1980-01-10,BajadaDelAgrio,62.12
1980-01-10,PasodeIndios,273
1980-01-11,Andacollo,158.86
1980-01-11,BajadaDelAgrio,60.48
1980-01-11,PasodeIndios,264
1980-01-12,Andacollo,158.22
1980-01-12,BajadaDelAgrio,58.24
1980-01-12,PasodeIndios,259
1980-01-13,Andacollo,149.14
1980-01-13,BajadaDelAgrio,57.08
1980-01-13,PasodeIndios,248
1980-01-14,Andacollo,140.9
1980-01-14,BajadaDelAgrio,56.34
1980-01-14,PasodeIndios,245
1980-01-15,Andacollo,137.28
1980-01-15,BajadaDelAgrio,56.34
1980-01-15,PasodeIndios,241
1980-01-16,Andacollo,134.92
1980-01-16,BajadaDelAgrio,55.69
1980-01-16,PasodeIndios,237
1980-01-17,Andacollo,131.38
1980-01-17,BajadaDelAgrio,54.14
1980-01-17,PasodeIndios,232
1980-01-18,Andacollo,128.17
1980-01-18,BajadaDelAgrio,51.94
1980-01-18,PasodeIndios,223
1980-01-19,Andacollo,126.28
1980-01-19,BajadaDelAgrio,48.36
1980-01-19,PasodeIndios,215
1980-01-20,Andacollo,120.73
1980-01-20,BajadaDelAgrio,47.43
1980-01-20,PasodeIndios,213
1980-01-21,Andacollo,110.85
1980-01-21,BajadaDelAgrio,46.55
1980-01-21,PasodeIndios,201
1980-01-22,Andacollo,128.24
1980-01-22,BajadaDelAgrio,45.33
1980-01-22,PasodeIndios,200
1980-01-23,Andacollo,143.03
1980-01-23,BajadaDelAgrio,45.13
1980-01-23,PasodeIndios,208
1980-01-24,Andacollo,126.16
1980-01-24,BajadaDelAgrio,43.93
1980-01-24,PasodeIndios,215
1980-01-25,Andacollo,124.41
1980-01-25,BajadaDelAgrio,43.21
1980-01-25,PasodeIndios,208
1980-01-26,Andacollo,109.23
1980-01-26,BajadaDelAgrio,41.8
1980-01-26,PasodeIndios,194
1980-01-27,Andacollo,112.43
1980-01-27,BajadaDelAgrio,39.84
1980-01-27,PasodeIndios,185
1980-01-28,Andacollo,106.96
1980-01-28,BajadaDelAgrio,38.56
1980-01-28,PasodeIndios,182
1980-01-29,Andacollo,102.68
1980-01-29,BajadaDelAgrio,37.88
1980-01-29,PasodeIndios,175
1980-01-30,Andacollo,100.53
1980-01-30,BajadaDelAgrio,37.1
1980-01-30,PasodeIndios,166
1980-01-31,Andacollo,97.79
1980-01-31,BajadaDelAgrio,36.01
1980-01-31,PasodeIndios,163
1980-02-01,Andacollo,96.12
1980-02-01,BajadaDelAgrio,35.87
1980-02-01,PasodeIndios,159
1980-02-02,Andacollo,94.56
1980-02-02,BajadaDelAgrio,35.35
1980-02-02,PasodeIndios,155
1980-02-03,Andacollo,93
1980-02-03,BajadaDelAgrio,34.63
1980-02-03,PasodeIndios,149
1980-02-04,Andacollo,88.2
1980-02-04,BajadaDelAgrio,34.12
1980-02-04,PasodeIndios,146
1980-02-05,Andacollo,75.5
1980-02-05,BajadaDelAgrio,33.41
1980-02-05,PasodeIndios,143
1980-02-06,Andacollo,70.99
1980-02-06,BajadaDelAgrio,34.13
1980-02-06,PasodeIndios,139
1980-02-07,Andacollo,67.33
1980-02-07,BajadaDelAgrio,43.84
1980-02-07,PasodeIndios,137
1980-02-08,Andacollo,68.68
1980-02-08,BajadaDelAgrio,45.64
1980-02-08,PasodeIndios,144
1980-02-09,Andacollo,86.96
1980-02-09,BajadaDelAgrio,66.32
1980-02-09,PasodeIndios,144
1980-02-10,Andacollo,78.54
