Anio	Rendimiento	Acumulado
1990	2926.7681451612902	1175.6
1991	2934.7169354838707	886.9
1992	2774.6657258064515	722
1994	2785.563306451613	726.5
1995	2704.512096774193	634
1997	3151.4096774193545	1082.7
1998	2908.3584677419353	1007.1
1999	2528.3072580645157	773.9
2000	2979.2560483870966	1078.2
2001	2792.204838709677	1025.5
2002	3241.153629032258	1116.6
2003	2659.1024193548387	736.4
2004	3034.051209677419	814.3
2005	2915.9999999999995	580.4
2006	3254.9487903225804	1005.7
2007	3278.8975806451613	884.4
2009	3287.7951612903225	891.4
2010	2972.743951612903	769.6
2011	2507.692741935484	539.8
2012	3079.641532258064	995.6
2013	2822.590322580645	501.5
2014	3460.5391129032255	1064.6
2016	3061.4366935483868	1069.3
2018	3391.334274193548	828.9
2019	2669.283064516129	828.7
2020	2528.2318548387098	788.1
