Estacion,Anio,Fase,Acumulado
Andacollo,1980,Fase_int,16984.37
Andacollo,1980,Fase_max,17638.21
Andacollo,1980,Fase_min,9585.33
Andacollo,1981,Fase_int,10377.001393748695
Andacollo,1981,Fase_max,11669.61
Andacollo,1981,Fase_min,1841.97
Andacollo,1982,Fase_int,15744.26
Andacollo,1982,Fase_max,25961.53
Andacollo,1982,Fase_min,3306.8022061536954
Andacollo,1983,Fase_int,12205.98
Andacollo,1983,Fase_max,15834.2
Andacollo,1983,Fase_min,9719.01
Andacollo,1984,Fase_int,8616.78
Andacollo,1984,Fase_max,28463.35058398555
Andacollo,1984,Fase_min,3737.25
Andacollo,1985,Fase_int,8948.2
Andacollo,1985,Fase_max,12576.14
Andacollo,1985,Fase_min,5898.45
Andacollo,1986,Fase_int,16133.41
Andacollo,1986,Fase_max,20740.19
Andacollo,1986,Fase_min,3693.06
Andacollo,1987,Fase_int,11025.21
Andacollo,1987,Fase_max,24593.28
Andacollo,1987,Fase_min,4783.34
Andacollo,1988,Fase_int,6850.02
Andacollo,1988,Fase_max,18116.09
Andacollo,1988,Fase_min,3511.23
Andacollo,1989,Fase_int,3593.23
Andacollo,1989,Fase_max,10026.76
Andacollo,1989,Fase_min,2449.445481679788
Andacollo,1990,Fase_int,4539.37
Andacollo,1990,Fase_max,7246.03
Andacollo,1990,Fase_min,2049.35
Andacollo,1991,Fase_int,7484.28
Andacollo,1991,Fase_max,9594.55
Andacollo,1991,Fase_min,2093.82
Andacollo,1992,Fase_int,7241.0599999999995
Andacollo,1992,Fase_max,9905.39
Andacollo,1992,Fase_min,1860.17
Andacollo,1993,Fase_int,12495.68
Andacollo,1993,Fase_max,17879.83
Andacollo,1993,Fase_min,4595.2
Andacollo,1994,Fase_int,11164.92
Andacollo,1994,Fase_max,14594.28
Andacollo,1994,Fase_min,3753.23
Andacollo,1995,Fase_int,13270.81
Andacollo,1995,Fase_max,21515.85
Andacollo,1995,Fase_min,2951.22
Andacollo,1996,Fase_int,5791.93
Andacollo,1996,Fase_max,5939.47
Andacollo,1996,Fase_min,3865.48
Andacollo,1997,Fase_int,19408.15
Andacollo,1997,Fase_max,23058.65
Andacollo,1997,Fase_min,2841.5
Andacollo,1998,Fase_int,3960.33
Andacollo,1998,Fase_max,3787.56
Andacollo,1998,Fase_min,5018.03
Andacollo,1999,Fase_int,6197.08
Andacollo,1999,Fase_max,19777.01
Andacollo,1999,Fase_min,1832.07
Andacollo,2000,Fase_int,13145.72
Andacollo,2000,Fase_max,23135.32
Andacollo,2000,Fase_min,3023.08
Andacollo,2001,Fase_int,18467.07
Andacollo,2001,Fase_max,18308.2
Andacollo,2001,Fase_min,3991.39
Andacollo,2002,Fase_int,15807.26
Andacollo,2002,Fase_max,29203.54
Andacollo,2002,Fase_min,5327.71
Andacollo,2003,Fase_int,9739.58
Andacollo,2003,Fase_max,7657.14
Andacollo,2003,Fase_min,4302.09
Andacollo,2004,Fase_int,8455.70131945377
Andacollo,2004,Fase_max,8651.8225734562875
Andacollo,2004,Fase_min,4143.761551646698
Andacollo,2005,Fase_int,19536.076524481614
Andacollo,2005,Fase_max,18772.225412833417
Andacollo,2005,Fase_min,2754.8129990065004
Andacollo,2006,Fase_int,16198.28
Andacollo,2006,Fase_max,22994.340422461508
Andacollo,2006,Fase_min,5259.19
Andacollo,2007,Fase_int,4004.47
Andacollo,2007,Fase_max,11722.68
Andacollo,2007,Fase_min,3414.62
Andacollo,2008,Fase_int,11241.04
Andacollo,2008,Fase_max,15543.4
Andacollo,2008,Fase_min,2210.23
Andacollo,2009,Fase_int,10848.19
Andacollo,2009,Fase_max,15310.41
Andacollo,2009,Fase_min,3139.1
Andacollo,2010,Fase_int,4029.59
Andacollo,2010,Fase_max,8607.4
Andacollo,2010,Fase_min,2950.4330662821826
Andacollo,2011,Fase_int,6646.75
Andacollo,2011,Fase_max,16109.53
Andacollo,2011,Fase_min,2049.401015676993
Andacollo,2012,Fase_int,6822.93
Andacollo,2012,Fase_max,5864.2699999999995
Andacollo,2012,Fase_min,2669.0299999999997
Andacollo,2013,Fase_int,5753.12
Andacollo,2013,Fase_max,10866.26
Andacollo,2013,Fase_min,1516.16
Andacollo,2014,Fase_int,8050.5
Andacollo,2014,Fase_max,12253.49
Andacollo,2014,Fase_min,1508.57
Andacollo,2015,Fase_int,6622.61
Andacollo,2015,Fase_max,10821.5
Andacollo,2015,Fase_min,1770.46
Andacollo,2016,Fase_int,3339.41
Andacollo,2016,Fase_max,3998.6549467633668
Andacollo,2016,Fase_min,1793.11
Andacollo,2017,Fase_int,4675.41
Andacollo,2017,Fase_max,14121.5
Andacollo,2017,Fase_min,997.8100000000001
Andacollo,2018,Fase_int,5429.635790169198
Andacollo,2018,Fase_max,12219.86
Andacollo,2018,Fase_min,1803.14
Andacollo,2019,Fase_int,4331.15
Andacollo,2019,Fase_max,6175.675447962773
Andacollo,2019,Fase_min,1632.53
BajadaDelAgrio,1980,Fase_int,14683.78
BajadaDelAgrio,1980,Fase_max,8596.66
BajadaDelAgrio,1980,Fase_min,5913.37
BajadaDelAgrio,1981,Fase_int,10145.85
