Anio,Mes,iod,nino4,nino12,nino34,sam,tna,tsa
1980,1,-93,0.37,-0.25,0.54,0.01,0.4,-0.15
1980,2,-120,0.36,-0.42,0.22,-1.75,0.41,-0.34
1980,3,-317,0.19,-0.01,0.03,-2.58,0.17,-0.26
1980,4,-20,0.14,0,-0.07,-1.77,0.56,-0.11
1980,5,14,0.26,-0.43,0.08,-0.51,0.71,-0.04
1980,6,-268,0.16,-0.36,0.21,3.19,0.47,-0.08
1980,7,-564,0.02,-0.84,-0.06,-1.68,0.19,-0.06
1980,8,-710,-0.29,-0.48,-0.38,-1.68,0.29,0.03
1980,9,-639,-0.27,-0.3,-0.28,-2.56,0.21,0.11
1980,10,-498,-0.02,-0.5,-0.26,0.45,0.05,-0.03
1980,11,-294,-0.02,-0.41,-0.1,-2.09,0.03,-0.25
1980,12,-413,-0.03,-0.4,0.05,-0.1,-0.02,-0.59
1981,1,-136,-0.13,-1.5,-0.36,0.84,0.27,-0.27
1981,2,56,-0.17,-1.17,-0.64,1.76,0.16,-0.47
1981,3,127,-0.17,-0.55,-0.64,-2.47,0.6,-0.64
1981,4,168,-0.52,-0.73,-0.53,-3.52,0.34,-0.52
1981,5,62,-0.56,-0.77,-0.57,0.88,0.36,-0.4
1981,6,-126,-0.59,-0.63,-0.46,0.38,0.18,-0.22
1981,7,-463,-0.73,-0.89,-0.64,-1.43,0.15,-0.23
1981,8,-516,-0.71,-1.13,-0.53,-1.99,0.09,0.12
1981,9,-651,-0.4,-0.79,-0.19,-1.49,0.14,0.2
1981,10,-447,-0.38,-0.57,-0.3,-0.39,0.04,0.35
1981,11,-204,-0.31,-0.46,-0.41,2.34,0.13,0.26
1981,12,50,-0.09,-0.18,-0.2,2.21,0.27,0.1
1982,1,209,-0.03,-0.26,0.13,-0.77,0.19,0.03
1982,2,246,-0.18,-0.79,-0.17,0.7,-0.07,-0.2
1982,3,154,0.07,-1.29,0.13,4.28,-0.07,-0.21
1982,4,194,0.33,-0.81,0.21,2.89,-0.16,-0.35
1982,5,302,0.39,-0.31,0.45,-0.7,-0.03,-0.37
1982,6,369,0.45,0.13,0.53,2.4,-0.15,-0.45
1982,7,362,0.13,0.47,0.37,0.01,-0.27,-0.44
1982,8,369,0.09,0.8,0.73,1,-0.3,-0.57
1982,9,548,0.33,1.31,1.49,1.56,-0.28,-0.31
1982,10,783,0.67,1.81,1.99,-2.14,-0.34,-0.11
1982,11,407,0.57,3.03,1.92,-2.32,-0.46,-0.28
1982,12,-93,0.51,3.16,2.2,-2.21,-0.5,-0.17
1983,1,-416,0.39,2.65,2.35,-2.44,-0.36,0.33
1983,2,-507,0.33,2.03,1.94,0.89,-0.02,0.37
1983,3,-652,0.23,2.23,1.38,-0.71,0.44,-0.14
1983,4,-481,0.04,3.32,0.95,-0.6,0.45,-0.25
1983,5,21,0.16,3.85,0.9,-0.68,0.17,-0.45
1983,6,484,0,4.24,0.54,0.38,0.35,-0.45
1983,7,621,-0.27,3.8,-0.11,1.63,0.23,-0.31
1983,8,457,-0.4,2.93,-0.27,0.09,0.01,-0.08
1983,9,37,-0.78,1.37,-0.52,-0.72,-0.18,0.04
1983,10,-128,-0.89,0.99,-1.16,2.05,-0.15,-0.08
1983,11,-220,-1.01,0.4,-1.29,3.79,0.05,0.06
1983,12,-31,-0.83,0.21,-1.03,1.52,0.23,0.39
1984,1,-158,-0.83,-0.39,-0.67,-1.96,-0.05,0.68
1984,2,-69,-0.72,-0.88,-0.19,-1.74,-0.2,0.65
1984,3,-22,-0.85,-0.87,-0.52,-0.38,-0.1,0.79
1984,4,125,-0.88,-0.23,-0.68,-0.23,-0.19,0.5
1984,5,-225,-0.78,-1.11,-0.73,-0.33,-0.16,0.26
1984,6,-243,-0.78,-0.95,-0.9,1.08,-0.37,0.46
1984,7,-269,-0.59,-0.63,-0.5,-0.21,-0.35,0.55
1984,8,-385,-0.62,-0.56,-0.24,-2.33,-0.28,0.77
1984,9,-502,-0.54,-0.07,-0.34,-0.16,-0.24,0.84
1984,10,-494,-0.74,-0.51,-0.67,1.06,-0.49,0.59
1984,11,-295,-0.91,-0.13,-1.19,0.34,-0.46,0.31
1984,12,-209,-0.95,-0.4,-1.34,-3.22,-0.5,0.25
1985,1,-401,-0.64,-0.78,-1.16,-2.38,-0.43,0.32
1985,2,-547,-0.71,-1.38,-0.72,-0.02,-0.37,0.52
1985,3,-441,-1.01,-0.89,-0.79,-0.08,-0.62,0.14
1985,4,-125,-1.14,-1.37,-1.18,0.95,-0.65,0.15
1985,5,-143,-0.98,-1.88,-1.03,0.38,-0.7,0.24
1985,6,-516,-0.95,-1.27,-0.91,-2.49,-0.3,0.04
1985,7,-307,-0.72,-1.4,-0.74,2.64,-0.05,0.27
1985,8,-346,-0.58,-1.23,-0.56,1.26,-0.08,0.1
1985,9,-132,-0.48,-0.99,-0.7,1.07,-0.16,0.02
1985,10,-339,-0.4,-0.92,-0.49,0.57,-0.14,0.27
1985,11,197,-0.35,-0.79,-0.37,2.28,-0.08,0.24
1985,12,-348,-0.24,-0.38,-0.41,1.9,-0.25,0.29
1986,1,-47,-0.25,0,-0.66,0.37,-0.62,0.2
1986,2,-56,-0.23,-0.1,-0.71,-4.89,-0.63,0.47
1986,3,-100,-0.16,-0.73,-0.42,-1.26,-0.61,0.38
1986,4,-211,-0.34,-0.85,-0.33,-0.57,-0.64,0.28
1986,5,-74,-0.33,-1.18,-0.53,-2.19,-0.54,0.26
1986,6,-165,-0.19,-1.08,-0.31,-0.95,-0.59,0.41
1986,7,-449,-0.08,-0.49,-0.11,-0.02,-0.38,0.19
1986,8,-288,0.06,-0.1,0.32,1.68,-0.41,0.21
1986,9,-36,0.22,0.18,0.53,2.72,0.04,0.3
1986,10,111,0.23,0.25,0.81,-0.38,-0.2,0.14
1986,11,-120,0.38,0.36,1.01,0.5,-0.6,-0.17
1986,12,-205,0.32,0.6,1.12,1.31,-0.69,0.02
1987,1,-15,0.3,0.99,1.14,-2.51,-0.32,0.02
1987,2,121,0.5,0.97,1.13,-2.49,-0.17,0.08
1987,3,-37,0.47,1.44,0.98,-1.11,0.22,0.16
1987,4,-81,0.08,1.56,0.58,-0.17,0.33,0.04
1987,5,244,0.19,1.52,0.62,-0.34,0.37,0.28
1987,6,223,0.4,0.98,0.92,0.18,0.62,0.42
1987,7,304,0.49,1.03,1.29,-0.26,0.48,0.5
1987,8,409,0.59,0.82,1.57,1.79,0.56,0.43
1987,9,499,0.78,1.1,1.65,-0.72,0.4,0.32
1987,10,414,0.82,1.45,1.24,0.78,0.45,0.42
1987,11,72,0.82,1.14,1.07,1.77,0.36,0.63
1987,12,222,0.76,0.67,0.94,0.3,0.52,0.39
1988,1,418,0.65,0.02,0.9,0.13,0.15,0.63
1988,2,-74,0.45,-0.31,0.28,0.12,-0.02,0.66
1988,3,-212,0.14,-0.81,0.1,-2.01,0.27,0.77
1988,4,-53,-0.36,-0.83,-0.44,2.11,0.38,0.59
1988,5,-434,-0.62,-1.26,-1.25,-2.03,0.29,0.71
1988,6,-158,-0.88,-1.66,-1.74,-3.06,0.34,0.73
1988,7,-53,-0.94,-1.37,-1.74,0.64,0.27,0.46
1988,8,-177,-0.77,-1.46,-1.19,-2,0.03,0.5
1988,9,-288,-0.92,-1.29,-1,-2.7,0.06,0.3
1988,10,-365,-1.64,-1.2,-1.9,-6.03,-0.2,0.37
1988,11,-60,-1.73,-0.96,-2.05,1.77,-0.23,0.14
1988,12,226,-1.77,-0.75,-1.96,1.88,-0.23,0.19
1989,1,-215,-1.72,-0.3,-1.97,-0.02,-0.42,0.41
1989,2,35,-1.53,-0.06,-1.47,1.14,-0.48,0.23
1989,3,-219,-1.16,-0.15,-1.21,0.2,-0.66,0.35
1989,4,-405,-1.01,-0.09,-1.08,0,-0.89,0.29
1989,5,-515,-0.79,-1.2,-0.88,3.73,-0.66,0.33
1989,6,-666,-0.92,-1.08,-0.59,2.91,-0.17,0.31
1989,7,-350,-0.85,-0.79,-0.57,0.88,0.25,0.26
1989,8,-209,-0.77,-0.3,-0.53,-1.21,0.39,0.39
1989,9,-119,-0.5,-0.65,-0.3,-0.23,0.06,0.21
1989,10,-253,-0.45,-0.48,-0.4,-0.16,0.12,0.28
1989,11,-215,-0.54,-0.24,-0.45,0.69,-0.04,-0.06
1989,12,-97,-0.12,-0.4,-0.13,-0.05,0.22,-0.25
1990,1,-33,0.16,-0.48,0.01,-0.23,-0.08,-0.34
1990,2,-209,0.38,-0.16,0.21,1.95,-0.1,0.13
